,pres0,rank0,pres1,rank1,pres2,rank2,pres3,rank3,pres4,rank4,pres5,rank5,pres6,rank6,pres7,rank7,pres8,rank8,pres9,rank9,pres10,rank10,pres11,rank11,pres12,rank12,pres13,rank13
0,abaca,0.030510371860626426,abandonment,0.008194244253789,abaca,0.03564694965865034,abaca,0.06313783368918846,abaca,0.021552029397151208,abaca,0.03402218910943015,abatement,0.00664170170293468,aabot,0.033950632144382674,abadia,0.020014460502070678,abandoned,0.01839114425574491,aangat,0.012813790192407708,aabala,0.018920133687618378,abad,0.0156942192639902,ab,0.01919359322470813
1,abandon,0.035247352943346626,abides,0.008194244253789,abandon,0.01225669783148592,abatement,0.013655984675974371,abandon,0.025928172970028907,abandon,0.009498406784890341,abide,0.00664170170293468,aapat,0.016975316072191337,abandon,0.013906719927535567,abat,0.015447119427326631,abdication,0.011773487708013383,aalala,0.07568053475047351,abaya,0.01543414009460636,abandon,0.007369736430134934
2,abandoned,0.01219813046362889,able,0.024582732761367,abandoned,0.00713206078053314,abiding,0.02870494638316475,abetted,0.011334570337003254,abandoned,0.009803837527447833,abides,0.00664170170293468,abaca,0.1076340246279372,abet,0.020744909639475298,abiding,0.01957079888892792,ability,0.023546975416026766,aalisin,0.018147586793530117,abby,0.0078471096319951,abdul,0.01133818145314634
3,abiding,0.02922642649533025,accept,0.016388488507578,abiding,0.01098652060037865,ability,0.04285970665392481,ability,0.011334570337003254,abbreviated,0.010322857154532938,abiding,0.0064031087764125465,abad,0.004853532030505933,abiding,0.013906719927535567,ability,0.02023430391088488,able,0.011773487708013383,aaral,0.06874805817405058,abdulgani,0.0078471096319951,abiding,0.015759263760772108
4,ability,0.08195209652273794,accepted,0.057359709776523,ability,0.022598101456068685,able,0.1582328584286332,able,0.069728956828046,abc,0.009803837527447833,ability,0.09970893280518006,abandon,0.016235443127282343,ability,0.051973539360080284,able,0.10793921096782397,abolish,0.017571490637997584,aasikaso,0.016545270582202527,abi,0.0078471096319951,ability,0.03517874322137986
5,able,0.10880521230953724,accomplished,0.008194244253789,able,0.09984288175106,abolished,0.022332811144046547,abroad,0.052951259366001556,abide,0.010322857154532938,able,0.12288915197752198,abandoned,0.049524872079525994,able,0.04854248265433027,abolishing,0.03914159777785584,abolished,0.012813790192407708,aatras,0.019405362850249186,abilities,0.01097468408155954,able,0.08297246852005039
6,abolished,0.05729168458040029,achieve,0.008194244253789,abnormal,0.00612834891574296,abound,0.013655984675974371,absence,0.021552029397151208,abides,0.009803837527447833,abolish,0.02994371138659744,abandoning,0.022869584228585628,abolished,0.022699702612680502,abominable,0.02023430391088488,abraham,0.0186992585915015,aatubiling,0.02136762183559526,ability,0.06566230299398745,abolish,0.02267636290629268
7,abolition,0.04603690085504547,achievement,0.008194244253789,abolish,0.00612834891574296,abreast,0.02259704745195336,absentee,0.021552029397151208,abiding,0.009498406784890341,abolished,0.00664170170293468,abandonment,0.009707064061011865,abolishing,0.02196951827788676,abreast,0.01839114425574491,abril,0.025627580384815416,abandon,0.026124294791510943,able,0.4711404133521097,abortion,0.009596796612354064
8,abound,0.01591225517556947,acknowledge,0.008194244253789,abolished,0.01426412156106628,abroad,0.14774688725129242,absolutely,0.021552029397151208,ability,0.043939968510520566,abolition,0.01328340340586936,abang,0.013616502570959175,abot,0.013906719927535567,abroad,0.03768435469153558,abroad,0.0276532994604273,abandoned,0.016545270582202527,abraham,0.0078471096319951,abra,0.009596796612354064
9,abreast,0.01863575776410418,acknowledgment,0.008194244253789,abolition,0.00713206078053314,absentee,0.013655984675974371,abundance,0.011545368856167798,able,0.06572387824140868,abroad,0.023506430972813127,abdication,0.016975316072191337,abroad,0.040028921004141356,absent,0.01839114425574491,abruptly,0.012813790192407708,abated,0.03984324991045865,abroad,0.02186888224730176,abraham,0.020670626259772066
10,abroad,0.06484905581177229,acquired,0.008194244253789,abroad,0.04606478152046202,absolute,0.022332811144046547,abundant,0.04820420786178034,abolish,0.010322857154532938,absence,0.008265761840197,abelardo,0.004853532030505933,absolute,0.020014460502070678,absentee,0.035821926088594795,absolute,0.011773487708013383,abaya,0.026124294791510943,absurdity,0.01097468408155954,abroad,0.05476203479017916
11,abruptly,0.014613213247665124,act,0.008194244253789,absence,0.00713206078053314,absorbing,0.014352473191582374,abuse,0.035196870361558275,abolished,0.018909318514938253,absentee,0.00664170170293468,abellana,0.004853532030505933,absorb,0.020014460502070678,absorptive,0.02023430391088488,abstention,0.011773487708013383,abdicate,0.018920133687618378,abu,0.012369416483024599,abs,0.030153355012222917
12,absence,0.009368535330642462,action,0.008194244253789,absolute,0.01225669783148592,abundance,0.02870494638316475,accelerate,0.03511604978350009,abolition,0.029036938188027744,abso,0.00664170170293468,abetted,0.027724056776718752,abuse,0.05181295036406453,abstraction,0.02023430391088488,abu,0.011773487708013383,abdullah,0.02136762183559526,abundance,0.0078471096319951,absent,0.01919359322470813
13,absentee,0.01591225517556947,active,0.032776977015156,absolutely,0.012744323313305751,accelerate,0.10621041236913406,accelerated,0.03511604978350009,abreast,0.010322857154532938,absolute,0.0064031087764125465,abide,0.020717563071078412,ac,0.02196951827788676,abuse,0.01790416491813589,abubakar,0.011773487708013383,abe,0.026124294791510943,abundant,0.018304515066225338,absentee,0.011264076072628089
14,absolutely,0.01219813046362889,activity,0.008194244253789,absorb,0.017656835046066736,accelerated,0.04932030282938665,accelerating,0.023090737712335597,abroad,0.0676725497819941,absorb,0.024797285520591,abided,0.005792519899949861,academe,0.02196951827788676,abused,0.03009858049287787,abundant,0.012813790192407708,abeng,0.026124294791510943,abundantly,0.0078471096319951,absolutely,0.03268923024283882
15,abundantly,0.018018610433380752,adequate,0.008194244253789,abstention,0.00713206078053314,acceleration,0.011772965158327242,acceleration,0.016068069287260112,absolutely,0.009498406784890341,absorbed,0.016531523680394,abiding,0.03922435993607626,academy,0.022699702612680502,abuser,0.015447119427326631,abuse,0.023546975416026766,abilidad,0.019405362850249186,abuque,0.018304515066225338,absorb,0.015279992812648736
16,academic,0.022733682972964877,adequately,0.008194244253789,abundance,0.00713206078053314,accept,0.022332811144046547,acceptance,0.011334570337003254,absorbed,0.035697999476495115,absorbing,0.0064031087764125465,ability,0.13096335633859957,accelerate,0.027956716550262536,academe,0.01839114425574491,abusing,0.017571490637997584,ability,0.0660562063686468,abuse,0.10434319239911602,absurd,0.011264076072628089
17,academy,0.018018610433380752,administering,0.008194244253789,abundant,0.008317605389791913,accepted,0.014352473191582374,access,0.02160455582993509,abundance,0.020645714309065876,abundance,0.008265761840197,abject,0.018854582426423887,accelerated,0.013906719927535567,academy,0.03294128344981981,abuso,0.017571490637997584,able,0.0733689562938,abused,0.030444962958645683,abu,0.035423616259214835
18,accelerate,0.01990691085570452,administration,0.016388488507578,abuse,0.011749869344679796,accessible,0.014352473191582374,accessible,0.011334570337003254,abundant,0.017848999738247558,abuse,0.00664170170293468,able,0.2668403987964742,accelerating,0.013906719927535567,acceded,0.03127409001815674,accelerated,0.012813790192407708,ably,0.017200142696862823,abusing,0.017608629010096653,abuse,0.04737134655898513
19,accelerated,0.018018610433380752,admiration,0.008194244253789,accelerate,0.02829879448974265,accom,0.022332811144046547,accfa,0.10104047778592291,abuse,0.037993627139561365,abyss,0.008265761840197,abnegation,0.07598465688524848,accept,0.05083456976330912,accelerate,0.06623154970307332,acceleration,0.012813790192407708,abogadong,0.019405362850249186,abusive,0.01097468408155954,academe,0.009596796612354064
20,acceleration,0.009368535330642462,admitted,0.008194244253789,accelerated,0.00612834891574296,accommodated,0.027311969351948743,accfas,0.023090737712335597,ac,0.012835355396993724,aca,0.0064031087764125465,abnormal,0.006843439513071749,accepted,0.029533831212667054,accelerated,0.015447119427326631,accept,0.0186992585915015,abolish,0.02890356519201387,academy,0.0078471096319951,academy,0.019013445449034484
21,accept,0.01863575776410418,advance,0.008194244253789,acceleration,0.00713206078053314,accommodating,0.011772965158327242,accommodate,0.021552029397151208,accelerate,0.03801358951642688,accelerate,0.021661675095101224,abolish,0.011107201737049644,access,0.07283613284508898,accelerates,0.02023430391088488,acceptable,0.017571490637997584,abolished,0.02890356519201387,accelerate,0.05683866101486107,acceded,0.007369736430134934
22,accepted,0.034193765545683846,advanced,0.008194244253789,accept,0.01225669783148592,accommodation,0.028292057270183295,accompanied,0.011545368856167798,accelerated,0.027273676964558277,accelerated,0.025612435105650186,abolished,0.028542580733137642,accessible,0.027956716550262536,accelerating,0.027348530260015606,accepted,0.012813790192407708,abolition,0.019405362850249186,accelerated,0.01543414009460636,accelerate,0.02634291753500296
23,accessible,0.01219813046362889,adverse,0.008194244253789,acceptable,0.008317605389791913,accomplished,0.0295974564126519,accompanying,0.011334570337003254,acceleration,0.009498406784890341,accelerating,0.0064031087764125465,abolition,0.02226003387565452,acclaim,0.020014460502070678,acceptable,0.02871519395759453,access,0.011773487708013383,abortion,0.026124294791510943,acceleration,0.02194936816311908,accelerated,0.01133818145314634
24,accident,0.018361668256264112,advice,0.008194244253789,acceptance,0.008317605389791913,accomplishing,0.013655984675974371,accomplish,0.011334570337003254,accept,0.009498406784890341,accentuated,0.012806217552825093,abono,0.013256740459653579,accommodated,0.013906719927535567,accepted,0.016470641724909904,accord,0.03514298127599517,abot,0.05346744003191754,accept,0.01543414009460636,accelerating,0.009596796612354064
25,accommodate,0.01990691085570452,advocated,0.008194244253789,accepted,0.017312273889364002,accomplishment,0.039512624934870184,accomplishment,0.02160455582993509,acceptance,0.010322857154532938,accept,0.02075746623628141,aborted,0.020013276316638295,accommodation,0.022699702612680502,access,0.14399823207408013,accordance,0.012813790192407708,abra,0.018920133687618378,acceptable,0.022497632395574098,accept,0.04253296662301985
26,accommodation,0.009368535330642462,affair,0.016388488507578,accepting,0.00713206078053314,accord,0.013655984675974371,accordance,0.05395022461149983,accepted,0.009803837527447833,acceptable,0.00664170170293468,abra,0.020717563071078412,accompanies,0.013906719927535567,accommodation,0.01790416491813589,accorded,0.011773487708013383,abril,0.019405362850249186,accepted,0.02037446640740215,acceptable,0.01710621402060597
27,accomplish,0.03605546878547776,affected,0.008194244253789,accommodate,0.008317605389791913,accordance,0.03057619332269254,according,0.023090737712335597,accepting,0.009803837527447833,acceptance,0.010284678416251497,abroad,0.19128171158777918,accomplish,0.03603884615422373,accompanied,0.01790416491813589,according,0.03285400698848346,abroad,0.15578329137329794,accepting,0.012369416483024599,acceptance,0.01710621402060597
28,accomplished,0.06266632921973747,affection,0.008194244253789,accompanied,0.00612834891574296,accorded,0.013655984675974371,accordingly,0.022669140674006508,accessible,0.018996813569780682,accepted,0.04409242713031334,abrogated,0.017115822466324156,accomplished,0.020744909639475298,accompanying,0.02023430391088488,accordingly,0.011773487708013383,abu,0.08139107480853575,access,0.06201641347389261,accepted,0.011264076072628089
29,accomplishment,0.04963324791319488,afflicted,0.008194244253789,accomplish,0.020308055223165245,account,0.052213014978681714,accounted,0.011334570337003254,accfa,0.05940910971805262,accepting,0.01328340340586936,abruptly,0.015219263169995162,accomplishment,0.013906719927535567,accomplish,0.03678228851148982,account,0.0186992585915015,abubakar,0.018147586793530117,accolade,0.009152257533112669,accepting,0.007369736430134934
30,accord,0.028677817698993843,afraid,0.016388488507578,accomplished,0.017312273889364002,accredited,0.028292057270183295,accounting,0.02160455582993509,accommodate,0.023765971309641955,accessible,0.0064031087764125465,absence,0.047223138591520414,accord,0.022699702612680502,accomplished,0.015447119427326631,accountability,0.011773487708013383,abucay,0.02136762183559526,accompany,0.0078471096319951,access,0.11577003540359784
31,accordance,0.09965297587253077,aggression,0.008194244253789,accomplishing,0.00713206078053314,accrued,0.014352473191582374,accredited,0.011334570337003254,accommodated,0.010322857154532938,acclaimed,0.024696397641600105,absent,0.005792519899949861,accorded,0.022699702612680502,accomplishing,0.016470641724909904,accounting,0.05271447191399275,abulog,0.018920133687618378,accomplice,0.017608629010096653,accessible,0.030346974104318795
32,accorded,0.018737070661284924,agreed,0.016388488507578,accomplishment,0.016635210779583826,achieve,0.09142143900415767,accumulation,0.011545368856167798,accompanied,0.02837774239726275,acclimated,0.00664170170293468,absolute,0.01150711631684992,according,0.020014460502070678,accomplishment,0.027348530260015606,accrue,0.025627580384815416,abuse,0.017200142696862823,accomplish,0.017608629010096653,accident,0.02267636290629268
33,according,0.04592618805102216,agreement,0.008194244253789,accord,0.015647287911771945,achieved,0.08403174625516295,achieve,0.08030445116165448,accomplish,0.017848999738247558,accommoda,0.008265761840197,absolutely,0.031182116812643382,accordingly,0.013906719927535567,accordance,0.02023430391088488,acer,0.011773487708013383,academe,0.018920133687618378,accomplished,0.04567726008670503,accommodate,0.014739472860269867
34,account,0.04312277159648307,agriculture,0.008194244253789,accordance,0.0705798909136652,achievement,0.054078798910790205,achieved,0.024860009296595105,accomplished,0.043818525277717756,accommodate,0.012806217552825093,absorb,0.051215019319158527,account,0.056723332745829164,according,0.015447119427326631,achieve,0.03285400698848346,academy,0.018147586793530117,accordance,0.03876745961848193,accomplish,0.011264076072628089
